bottleneck,fragile
0,1.0
100,0.868
200,0.91
300,0.9
400,0.87
500,0.886
600,0.896
700,0.9
800,0.914
900,0.896
1000,0.918
1100,0.896
1200,0.914
1300,0.93
1400,0.924
1500,0.922
1600,0.934
1700,0.914
1800,0.916
1900,0.916
2000,0.914
2100,0.926
2200,0.924
2300,0.92
2400,0.94
2500,0.93
2600,0.92
2700,0.928
2800,0.942
2900,0.928
3000,0.938
3100,0.936
3200,0.928
3300,0.942
3400,0.916
3500,0.926
3600,0.932
3700,0.938
3800,0.938
3900,0.9
4000,0.948
4100,0.934
4200,0.922
4300,0.914
4400,0.922
4500,0.936
4600,0.936
4700,0.942
4800,0.942
4900,0.936
5000,0.938
5100,0.938
5200,0.936
5300,0.944
5400,0.956
5500,0.938
5600,0.926
5700,0.926
5800,0.914
5900,0.926
6000,0.938
6100,0.928
6200,0.94
6300,0.926
6400,0.944
6500,0.95
6600,0.934
6700,0.926
6800,0.938
6900,0.922
7000,0.94
7100,0.936
7200,0.952
7300,0.934
7400,0.936
7500,0.934
7600,0.924
7700,0.942
7800,0.944
7900,0.928
8000,0.936
8100,0.928
8200,0.938
8300,0.946
8400,0.948
8500,0.932
8600,0.95
8700,0.948
8800,0.928
8900,0.938
9000,0.934
9100,0.936
9200,0.916
9300,0.944
9400,0.944
9500,0.94
9600,0.954
9700,0.922
9800,0.934
9900,0.946
10000,0.934
10100,0.944
10200,0.938
10300,0.938
10400,0.942
10500,0.938
10600,0.924
10700,0.942
10800,0.944
10900,0.922
11000,0.93
11100,0.918
11200,0.948
11300,0.948
11400,0.944
11500,0.938
11600,0.926
11700,0.93
11800,0.938
11900,0.954
12000,0.944
12100,0.93
12200,0.936
12300,0.944
12400,0.94
12500,0.932
12600,0.964
12700,0.95
12800,0.94
12900,0.944
13000,0.936
13100,0.94
13200,0.932
13300,0.952
13400,0.946
13500,0.908
13600,0.946
13700,0.934
13800,0.942
13900,0.94
14000,0.93
14100,0.938
14200,0.942
14300,0.934
14400,0.934
14500,0.948
14600,0.928
14700,0.944
14800,0.936
14900,0.932
15000,0.952
15100,0.936
15200,0.94
15300,0.928
15400,0.924
15500,0.946
15600,0.95
15700,0.952
15800,0.944
15900,0.938
16000,0.94
16100,0.956
16200,0.946
16300,0.948
16400,0.938
16500,0.926
16600,0.942
16700,0.946
16800,0.938
16900,0.954
17000,0.93
17100,0.946
17200,0.956
17300,0.932
17400,0.93
17500,0.95
17600,0.95
17700,0.95
17800,0.946
17900,0.92
18000,0.94
18100,0.938
18200,0.95
18300,0.92
18400,0.938
18500,0.914
18600,0.96
18700,0.944
18800,0.946
18900,0.952
19000,0.936
19100,0.932
19200,0.932
19300,0.93
19400,0.942
19500,0.936
19600,0.926
19700,0.934
19800,0.914
19900,0.944
20000,0.932
20100,0.958
20200,0.942
20300,0.918
20400,0.938
20500,0.936
20600,0.938
20700,0.936
20800,0.948
20900,0.938
21000,0.94
21100,0.954
21200,0.946
21300,0.95
21400,0.93
21500,0.956
21600,0.942
21700,0.936
21800,0.956
21900,0.942
22000,0.93
22100,0.95
22200,0.936
22300,0.938
22400,0.936
22500,0.938
22600,0.938
22700,0.95
22800,0.942
22900,0.942
23000,0.942
23100,0.95
23200,0.932
23300,0.944
23400,0.952
23500,0.936
23600,0.942
23700,0.946
23800,0.926
23900,0.948
24000,0.962
24100,0.948
24200,0.94
24300,0.952
24400,0.938
24500,0.958
24600,0.954
24700,0.936
24800,0.936
24900,0.928
25000,0.946
25100,0.93
25200,0.936
25300,0.95
25400,0.95
25500,0.948
25600,0.946
25700,0.946
25800,0.928
25900,0.95
26000,0.944
26100,0.94
26200,0.952
26300,0.958
26400,0.936
26500,0.952
26600,0.954
26700,0.93
26800,0.924
26900,0.944
27000,0.946
27100,0.934
27200,0.958
27300,0.948
27400,0.956
27500,0.95
27600,0.938
27700,0.964
27800,0.948
27900,0.94
28000,0.948
28100,0.948
28200,0.948
28300,0.918
28400,0.948
28500,0.942
28600,0.952
28700,0.928
28800,0.942
28900,0.944
29000,0.95
29100,0.968
29200,0.954
29300,0.95
29400,0.942
29500,0.974
29600,0.946
29700,0.962
29800,0.962
29900,0.932
30000,0.946
30100,0.952
30200,0.938
30300,0.942
30400,0.922
30500,0.948
30600,0.954
30700,0.942
30800,0.938
30900,0.93
31000,0.93
31100,0.942
31200,0.94
31300,0.952
31400,0.956
31500,0.946
31600,0.948
31700,0.946
31800,0.926
31900,0.926
32000,0.944
32100,0.954
32200,0.94
32300,0.95
32400,0.952
32500,0.95
32600,0.948
32700,0.944
32800,0.942
32900,0.938
33000,0.946
33100,0.944
33200,0.958
33300,0.948
33400,0.946
33500,0.962
33600,0.918
33700,0.96
33800,0.938
33900,0.948
34000,0.942
34100,0.96
34200,0.94
34300,0.966
34400,0.944
34500,0.956
34600,0.938
34700,0.956
34800,0.95
34900,0.952
35000,0.948
35100,0.942
35200,0.934
35300,0.944
35400,0.952
35500,0.948
35600,0.954
35700,0.938
35800,0.944
35900,0.95
36000,0.958
36100,0.946
36200,0.968
36300,0.97
36400,0.948
36500,0.93
36600,0.96
36700,0.952
36800,0.94
36900,0.94
37000,0.962
37100,0.944
37200,0.938
37300,0.954
37400,0.95
37500,0.944
37600,0.932
37700,0.942
37800,0.94
37900,0.944
38000,0.944
38100,0.95
38200,0.926
38300,0.946
38400,0.954
38500,0.946
38600,0.94
38700,0.96
38800,0.956
38900,0.956
39000,0.964
39100,0.95
39200,0.952
39300,0.928
39400,0.946
39500,0.94
39600,0.95
39700,0.95
39800,0.952
39900,0.94
40000,0.938
40100,0.946
40200,0.952
40300,0.928
40400,0.942
40500,0.944
40600,0.956
40700,0.946
40800,0.96
40900,0.948
41000,0.936
41100,0.946
41200,0.948
41300,0.936
41400,0.954
41500,0.958
41600,0.958
41700,0.942
41800,0.96
41900,0.946
42000,0.966
42100,0.952
42200,0.954
42300,0.94
42400,0.942
42500,0.956
42600,0.952
42700,0.94
42800,0.96
42900,0.956
43000,0.952
43100,0.954
43200,0.942
43300,0.958
43400,0.966
43500,0.948
43600,0.924
43700,0.948
43800,0.958
43900,0.938
44000,0.94
44100,0.958
44200,0.938
44300,0.944
44400,0.944
44500,0.94
44600,0.938
44700,0.928
44800,0.93
44900,0.964
45000,0.96
45100,0.942
45200,0.946
45300,0.932
45400,0.942
45500,0.932
45600,0.966
45700,0.954
45800,0.938
45900,0.96
46000,0.958
46100,0.942
46200,0.964
46300,0.938
46400,0.954
46500,0.952
46600,0.942
46700,0.942
46800,0.942
46900,0.948
47000,0.946
47100,0.95
47200,0.95
47300,0.962
47400,0.94
47500,0.97
47600,0.934
47700,0.964
47800,0.938
47900,0.952
48000,0.952
48100,0.944
48200,0.95
48300,0.954
48400,0.926
48500,0.962
48600,0.952
48700,0.942
48800,0.938
48900,0.932
49000,0.944
49100,0.952
49200,0.964
49300,0.952
49400,0.954
49500,0.968
49600,0.948
49700,0.968
49800,0.964
49900,0.942
50000,0.95
50100,0.95
50200,0.944
50300,0.94
50400,0.93
50500,0.952
50600,0.972
50700,0.942
50800,0.928
50900,0.952
51000,0.954
51100,0.958
51200,0.954
51300,0.944
51400,0.944
51500,0.94
51600,0.934
51700,0.944
51800,0.944
51900,0.95
52000,0.962
52100,0.958
52200,0.95
52300,0.942
52400,0.96
52500,0.954
52600,0.95
52700,0.936
52800,0.938
52900,0.952
53000,0.944
53100,0.942
53200,0.952
53300,0.944
53400,0.954
53500,0.942
53600,0.946
53700,0.956
53800,0.946
53900,0.966
54000,0.95
54100,0.942
54200,0.958
54300,0.928
54400,0.956
54500,0.954
54600,0.944
54700,0.952
54800,0.942
54900,0.964
55000,0.964
55100,0.946
55200,0.944
55300,0.934
55400,0.93
55500,0.956
55600,0.954
55700,0.95
55800,0.954
55900,0.946
56000,0.956
56100,0.946
56200,0.932
56300,0.95
56400,0.934
56500,0.96
56600,0.946
56700,0.968
56800,0.954
56900,0.932
57000,0.952
57100,0.944
57200,0.952
57300,0.954
57400,0.952
57500,0.938
57600,0.946
57700,0.942
57800,0.924
57900,0.962
58000,0.938
58100,0.954
58200,0.936
58300,0.946
58400,0.934
58500,0.96
58600,0.956
58700,0.954
58800,0.922
58900,0.976
59000,0.93
59100,0.912
59200,0.944
59300,0.96
59400,0.942
59500,0.956
59600,0.962
59700,0.942
59800,0.956
59900,0.952
60000,0.958
60100,0.948
60200,0.954
60300,0.944
60400,0.958
60500,0.944
60600,0.956
60700,0.962
60800,0.946
60900,0.948
61000,0.952
61100,0.954
61200,0.954
61300,0.96
61400,0.93
61500,0.928
61600,0.936
61700,0.952
61800,0.948
61900,0.928
62000,0.92
62100,0.958
62200,0.948
62300,0.934
62400,0.946
62500,0.952
62600,0.952
62700,0.948
62800,0.952
62900,0.948
63000,0.932
63100,0.96
63200,0.958
63300,0.968
63400,0.924
63500,0.936
63600,0.946
63700,0.936
63800,0.918
63900,0.942
64000,0.958
64100,0.952
64200,0.952
64300,0.958
64400,0.962
64500,0.95
64600,0.934
64700,0.94
64800,0.958
64900,0.948
65000,0.956
65100,0.936
65200,0.944
65300,0.948
65400,0.94
65500,0.936
65600,0.96
65700,0.934
65800,0.958
65900,0.958
66000,0.962
66100,0.942
66200,0.964
66300,0.97
66400,0.948
66500,0.944
66600,0.954
66700,0.958
66800,0.936
66900,0.96
67000,0.96
67100,0.952
67200,0.954
67300,0.936
67400,0.956
67500,0.948
67600,0.952
67700,0.944
67800,0.95
67900,0.942
68000,0.946
68100,0.94
68200,0.936
68300,0.944
68400,0.95
68500,0.948
68600,0.948
68700,0.958
68800,0.95
68900,0.942
69000,0.948
69100,0.968
69200,0.948
69300,0.948
69400,0.94
69500,0.96
69600,0.958
69700,0.962
69800,0.954
69900,0.956
70000,0.95
70100,0.944
70200,0.946
70300,0.966
70400,0.92
70500,0.942
70600,0.938
70700,0.936
70800,0.944
70900,0.94
71000,0.956
71100,0.96
71200,0.936
71300,0.944
71400,0.948
71500,0.952
71600,0.954
71700,0.96
71800,0.954
71900,0.964
72000,0.94
72100,0.942
72200,0.944
72300,0.944
72400,0.958
72500,0.958
72600,0.96
72700,0.92
72800,0.962
72900,0.96
73000,0.95
73100,0.946
73200,0.95
73300,0.938
73400,0.946
73500,0.936
73600,0.964
73700,0.95
73800,0.938
73900,0.958
74000,0.948
74100,0.954
74200,0.938
74300,0.932
74400,0.942
74500,0.942
74600,0.95
74700,0.95
74800,0.96
74900,0.946
75000,0.952
75100,0.956
75200,0.93
75300,0.946
75400,0.948
75500,0.948
75600,0.964
75700,0.946
75800,0.934
75900,0.94
76000,0.956
76100,0.934
76200,0.932
76300,0.97
76400,0.956
76500,0.962
76600,0.946
76700,0.962
76800,0.95
76900,0.954
77000,0.946
77100,0.942
77200,0.958
77300,0.948
77400,0.952
77500,0.956
77600,0.96
77700,0.948
77800,0.954
77900,0.944
78000,0.938
78100,0.958
78200,0.952
78300,0.946
78400,0.964
78500,0.952
78600,0.94
78700,0.944
78800,0.958
78900,0.956
79000,0.932
79100,0.952
79200,0.956
79300,0.97
79400,0.954
79500,0.952
79600,0.944
79700,0.95
79800,0.95
79900,0.95
80000,0.936
80100,0.95
80200,0.946
80300,0.96
80400,0.95
80500,0.948
80600,0.95
80700,0.956
80800,0.93
80900,0.952
81000,0.954
81100,0.938
81200,0.952
81300,0.95
81400,0.938
81500,0.946
81600,0.952
81700,0.942
81800,0.942
81900,0.954
82000,0.936
82100,0.964
82200,0.93
82300,0.944
82400,0.948
82500,0.95
82600,0.936
82700,0.952
82800,0.95
82900,0.942
83000,0.928
83100,0.932
83200,0.958
83300,0.962
83400,0.946
83500,0.956
83600,0.946
83700,0.968
83800,0.944
83900,0.952
84000,0.952
84100,0.938
84200,0.946
84300,0.948
84400,0.944
84500,0.928
84600,0.97
84700,0.954
84800,0.954
84900,0.948
85000,0.952
85100,0.95
85200,0.932
85300,0.95
85400,0.944
85500,0.954
85600,0.964
85700,0.948
85800,0.942
85900,0.948
86000,0.946
86100,0.952
86200,0.94
86300,0.932
86400,0.956
86500,0.968
86600,0.944
86700,0.942
86800,0.96
86900,0.948
87000,0.944
87100,0.958
87200,0.936
87300,0.952
87400,0.942
87500,0.956
87600,0.958
87700,0.952
87800,0.946
87900,0.926
88000,0.946
88100,0.946
88200,0.942
88300,0.942
88400,0.924
88500,0.942
88600,0.948
88700,0.94
88800,0.946
88900,0.946
89000,0.94
89100,0.95
89200,0.958
89300,0.956
89400,0.954
89500,0.938
89600,0.94
89700,0.966
89800,0.944
89900,0.94
90000,0.94
90100,0.936
90200,0.954
90300,0.94
90400,0.954
90500,0.956
90600,0.95
90700,0.952
90800,0.952
90900,0.962
91000,0.942
91100,0.95
91200,0.944
91300,0.942
91400,0.966
91500,0.94
91600,0.96
91700,0.95
91800,0.952
91900,0.95
92000,0.946
92100,0.942
92200,0.95
92300,0.956
92400,0.94
92500,0.96
92600,0.96
92700,0.958
92800,0.964
92900,0.946
93000,0.948
93100,0.936
93200,0.948
93300,0.956
93400,0.946
93500,0.962
93600,0.968
93700,0.952
93800,0.946
93900,0.95
94000,0.946
94100,0.954
94200,0.938
94300,0.966
94400,0.944
94500,0.948
94600,0.952
94700,0.946
94800,0.95
94900,0.956
95000,0.93
95100,0.936
95200,0.944
95300,0.948
95400,0.954
95500,0.962
95600,0.956
95700,0.946
95800,0.95
95900,0.948
96000,0.944
96100,0.96
96200,0.952
96300,0.954
96400,0.95
96500,0.934
96600,0.946
96700,0.954
96800,0.954
96900,0.962
97000,0.958
97100,0.944
97200,0.946
97300,0.946
97400,0.948
97500,0.936
97600,0.966
97700,0.958
97800,0.936
97900,0.942
98000,0.948
98100,0.946
98200,0.958
98300,0.966
98400,0.948
98500,0.96
98600,0.942
98700,0.96
98800,0.948
98900,0.95
99000,0.95
99100,0.95
99200,0.944
99300,0.944
99400,0.948
99500,0.948
99600,0.938
99700,0.95
99800,0.958
99900,0.96
100000,0.952
